8;75-1082;H_VC;"3/4""(20MM)AR1 MAIN REG.BODY W/ 1-CONTRL MOD(PILOT)";707
8;75-1083;H_VC;"1""(25MM)AR1 MAIN REG.BODY W/ 1 -CONT MOD(PLT)PORT";753
8;75-1084;H_VC;"1-1/4""(32MM)AR1 MAIN REG.BODY W/ 1 -CONT MOD(PILOT";1030
8;75-1085;H_VC;"1-1/2""(40MM)AR1MAIN REG.BODY W/ 1-CONT MOD(PILOT)P";1497
8;75-1086;H_VC;"2""(50MM)AR1 MAIN REG BODY W/ 1-CONT MODULE(PILOT)P";1818
8;75-1087;H_VC;"2-1/2""(65MM)AR1 MAIN REG.BODY W/ 1 -CONT MOD(PILOT";2367
8;75-1088;H_VC;"3""(80MM)AR1 MAIN REG.W/ 1-CONT MOD(PLT)PORT";3424
8;75-1089;H_VC;"4""(100)AR1 MAIN REG BODY W/ 1-CONT MOD(PILOT)PORT";5155
8;75-1090;H_VC;"3/4""(20MM)AR3 MAIN REG.W/ 3-CON MOD(PLT)PORT";871
8;75-1091;H_VC;"1""(25MM)AR3 MAIN REG.BODY W/ 3 -CONT MOD(PLT)PORT";919
8;75-1092;H_VC;"1-1/4""(32MM)AR3 MAIN REG.BODY W/ 3-CONT MOD(PILOT";1212
8;75-1093;H_VC;"1-1/2""(40MM)AR3 MAIN REG BODY W/ 3-CONT MOD(PILOT)";1700
8;75-1094;H_VC;"2""(50MM)AR3 MAIN REG BODY W/ 3-CONT MODULE(PILOT)P";2003
8;75-1095;H_VC;"2-1/2""(65MM)AR3 MAIN REG BODY W/ 3-CONTRL MOD(PILO";2552
8;75-1096;H_VC;"3""(80MM)AR3 MAIN REG BODY W/ 3-CONT MODULE(PILOT)P";3609
8;75-1097;H_VC;KIT,M3 INLET PRES. MOD.PILOT RG.A:0 TO 150 PSI;489
8;75-1098;H_VC;M3 INLET PRES.CONT MOD PILOT)RG B:30 TO 300PSIG;489
8;75-1099;H_VC;M3, INLET PRESS CNTRL MOD(PILOT) RG V: 20-130 PSI;781
8;75-1100;H_VC;M30 OUTLET PRES.CONTRL MOD (PILOT)RG V: 20-130 PSI;935
8;75-1101;H_VC;M30 OUTLET PRES.CONTRL MOD (PILT)RG B:30TO300PSIG;935
8;75-1103;H_VC;M3K RESEAT RELIEF CONTROL MODULE(PILOT), RANGE A;584
8;75-1104;H_VC;M3K RESEATING RELF CNTRL MODULE(PILOT)RGE B,#;584
8;75-1126;H_VC;COMPACT PRES CONTRL MODULE (PILOT)RG A:0TO150PSIG;489
8;75-1127;H_VC;KIT, M3KW RG.A COMPACT PILOT;584
8;75-1128;H_VC;"4""AR3,MAIN REG BODY WITH 3-CONTROL MOD.(PILOT)PORT";5338
8;75-1136;H_VC;"FAR200, 2"" FEMALE ADAPTER RING AND GASKET KIT";139
8;75-1137;H_VC;"FAR250, 2-1/2""FEMALE ADAPTER RING AND GASKET KIT";175
8;75-1138;H_VC;"FAR300, 3"" FEMALE ADAPTER RING AND GASKET KIT";198
8;75-1139;H_VC;"FAR400, 4"" FEMALE ADAPTER RING AND GASKET KIT";258
8;75-1143;H_VC;HONEYWELL MOTOR MOUNTING KIT;49
8;75-1193;H_VC;KIT,RANGE A,MOTORIZED PILOT MOD;573
8;75-1202;H_VC;KIT, M3K RANGE C PILOT;863
8;75-1203;H_VC;KIT, M3K RANGE D PILOT;584
8;75-1204;H_VC;KIT, M3 RANGE C PILOT;763
8;75-1205;H_VC;KIT, M3 RANGE D PILOT;489
8;75-1241;H_VC;"1-1/4""(32MM)AR1 MAIN BODY (4-BLT)1-CONT MOD(PILOT";1146
8;75-1242;H_VC;"1-1/4""(32MM)AR3 MAIN BODY(4-BLT)3 -CNT MOD(PILOT";1346
8;75-1243;H_VC;KIT, OUTLET PRESSURE PILOT RANGE D, HIGH PRESSURE;942
8;75-1249;H_VC;KIT, M3 PNEUM RG.V CONTROL MOD.;939
8;75-1283;H_VC;KIT, RANGE B, MOTORIZED PILOT MODULE;573
8;75-1285;H_VC;KIT, RANGE V, MOTORIZED PILOT MODULE;867
8;78-0140;H_VC;ST100 REFRIG.STR.HEAVY DUTY 100 MESH SCREEN, W/FAR;599
8;78-0188;H_VC;"STRAINER ASSY, ST200 W/1/4"" ANPT SENSING PORT";942
8;78-0189;H_VC;"STRAINER ASSY, ST250 W/1/4"" ANPT SENSING PORT";1250
8;AS150C;H_VC;"1-1/2"" REFRIG.SHUT-OFF VLV ANG ,SOCKET WELD,SC";605
8;AS150H;H_VC;"1-1/2""NH3 SHUT-OFF VALVE ANGLE,SOCKET WELD,HW";605
8;AS200C;H_VC;"2""REFRIGE.SHUT-OFF VALVE ANGLE,SOCKET WELD,SC";696
8;AS200H;H_VC;"2"" AMMONIA SHUT-OFF VALVE ANGLE,SW,HW";696
8;AS251C;H_VC;"2-1/2""REFRIG.SHUT-OFF VLV ANGLE,SOCKET WELD,SC";933
8;AS251H;H_VC;"2-1/2""NH3 SHUT-OFF VALVE ANGLE,SOCKET WELD,HW";933
8;ASB050C;H_VC;"1/2""SHUT-OFF VLV,ANGLE ,BLT BONNET,SW,SC";263
8;ASB050H;H_VC;"1/2"" SHUT-OFF VALVE, ANGLE, 4 BLT, SW, HW";263
8;ASB075C;H_VC;"3/4""SHUT-OFF VLV,ANGLE ,BLT BONNET,SW.SC";312
8;ASB075H;H_VC;"3/4""SHUT-OFF VALVE,ANGLE,BOLTED BLT,SW,HW";312
8;ASB100C;H_VC;"1""SHUT-OFF VALVE,ANGLE ,BLT BONNET,SW.SC";329
8;ASB100H;H_VC;"1""SHUT-OFF VLV,ANGLE ,BOLTED BONNET,SW,HW";329
8;ASB125C;H_VC;"1-1/4""SHUTOFF VLV,ANGLE ,BOLT BONNT,SW,SC";451
8;ASB125H;H_VC;"1-1/4""SHUTOFF VLV,ANGLE,BOLT BONNT,SW,HW";451
8;ASE050C;H_VC;"1/2""SHUT-OFF VLV, ANG, EXT.NECK,BLT.BNT,SW,SC";378
8;ASE050H;H_VC;"1/2""SHUT-OFF VLV, ANL,EXT.NECK,BLT. BNT,SW,HW";378
8;ASE075C;H_VC;"3/4""SHUT-OFF VALVE,ANG, EXT.NECK,BLT.BNT,SW,SC";431
