75-1243;H_VC;KIT, OUTLET PRESSURE PILOT RANGE D, HIGH PRESSURE;942
75-1249;H_VC;KIT, M3 PNEUM RG.V CONTROL MOD.;939
75-1283;H_VC;KIT, RANGE B, MOTORIZED PILOT MODULE;573
75-1285;H_VC;KIT, RANGE V, MOTORIZED PILOT MODULE;867
78-0140;H_VC;ST100 REFRIG.STR.HEAVY DUTY 100 MESH SCREEN, W/FAR;599
78-0188;H_VC;"STRAINER ASSY, ST200 W/1/4"" ANPT SENSING PORT";942
78-0189;H_VC;"STRAINER ASSY, ST250 W/1/4"" ANPT SENSING PORT";1250
AS150C;H_VC;"1-1/2"" REFRIG.SHUT-OFF VLV ANG ,SOCKET WELD,SC";605
AS150H;H_VC;"1-1/2""NH3 SHUT-OFF VALVE ANGLE,SOCKET WELD,HW";605
AS200C;H_VC;"2""REFRIGE.SHUT-OFF VALVE ANGLE,SOCKET WELD,SC";696
AS200H;H_VC;"2"" AMMONIA SHUT-OFF VALVE ANGLE,SW,HW";696
AS251C;H_VC;"2-1/2""REFRIG.SHUT-OFF VLV ANGLE,SOCKET WELD,SC";933
AS251H;H_VC;"2-1/2""NH3 SHUT-OFF VALVE ANGLE,SOCKET WELD,HW";933
ASB050C;H_VC;"1/2""SHUT-OFF VLV,ANGLE ,BLT BONNET,SW,SC";263
ASB050H;H_VC;"1/2"" SHUT-OFF VALVE, ANGLE, 4 BLT, SW, HW";263
ASB075C;H_VC;"3/4""SHUT-OFF VLV,ANGLE ,BLT BONNET,SW.SC";312
ASB075H;H_VC;"3/4""SHUT-OFF VALVE,ANGLE,BOLTED BLT,SW,HW";312
ASB100C;H_VC;"1""SHUT-OFF VALVE,ANGLE ,BLT BONNET,SW.SC";329
ASB100H;H_VC;"1""SHUT-OFF VLV,ANGLE ,BOLTED BONNET,SW,HW";329
ASB125C;H_VC;"1-1/4""SHUTOFF VLV,ANGLE ,BOLT BONNT,SW,SC";451
ASB125H;H_VC;"1-1/4""SHUTOFF VLV,ANGLE,BOLT BONNT,SW,HW";451
ASE050C;H_VC;"1/2""SHUT-OFF VLV, ANG, EXT.NECK,BLT.BNT,SW,SC";378
ASE050H;H_VC;"1/2""SHUT-OFF VLV, ANL,EXT.NECK,BLT. BNT,SW,HW";378
ASE075C;H_VC;"3/4""SHUT-OFF VALVE,ANG, EXT.NECK,BLT.BNT,SW,SC";431
ASE075H;H_VC;"3/4""SHUT-OFF VALVE,ANG,EXT.NECK,BLT. BONNET,SW,HW";431
ASE100C;H_VC;"1""SHUT-OFF VALVE,ANG, EXT.NECK, BLT.BONNET,SW,SC";512
ASE100H;H_VC;"1""SHUT-OFF VALVE,ANGLE, EXT.NECK,BLT. BONNET,SW,HW";512
ASE125C;H_VC;"1-1/4""SHUT-OFF VLV,ANG,EXT.NECK,BLT.BNT,SW,SC";636
ASE125H;H_VC;"1-1/4""SHUT-OFF VLV,ANG, EXT.NECK,BLT. BNT,SW,HW";636
ASE150C;H_VC;"1-1/2""SHUT-OFF VLV,ANG,EXT.NECK,BLT.BONNET,SW,SC";815
ASE150H;H_VC;"1-1/2""SHT-OFF VLV,ANG,EXT.NECK,BLT. BONNET,SW,HW";815
ASE200C;H_VC;"2""SHUT-OFF VALVE,ANG, EXT.NECK,BLT. BONNET,SW,SC";910
ASE200H;H_VC;"2""SHUT-OFF VALVE,ANG, EXT.NECK,BLT. BONNET,SW,HW";910
ASE251C;H_VC;"2-1/2"" SHUT-OFF VLV,ANG.EXT.NECK,BLT. BNT,SW,SC";1199
ASE251H;H_VC;"2-1/2"" SHUT-OFF VAVLE, ANG.EXT.NCK,BLT.BNT,SW,HW";1199
AT038C;H_VC;"3/8""REFRIG SHUT-OFF VLV ANGLE,THREADED,SEAL CAP";221
AT038H;H_VC;"3/8""NH3 SHUT-OFF VALVE ANGLE,THREADED,HW";221
AT051C;H_VC;"1/2""REFRIG.SHUT-OFF VLV ANGLE,THD,SEAL CAP";226
AT051H;H_VC;"1/2""NH3 SHUT-OFF VALVE ANGLE,THREADED,HW";226
AT076C;H_VC;"3/4""REFRIG SHUT-OFF VLV ANGLE,THREADED,SEAL CAP";258
AT076H;H_VC;"3/4""NH3 SHUT-OFF VALVE ANGLE,THREADED,HW";258
ATB050C;H_VC;"1/2""SHUT-OFF VLV,ANGLE,BLT BON,THD.,SC";261
ATB050H;H_VC;"1/2""SHUT-OFF VALVE,ANGLE,BLTD,BON,THD,HW";261
ATB075C;H_VC;"3/4""SHUT-OFF VLV,ANGLE ,BLTD BON,THD.SC";311
ATB075H;H_VC;"3/4""SHUT-OFF VLV,ANGLE,BLTD BONN,THD,HW";311
ATB100C;H_VC;"1""SHUT-OFF VLV,ANGLE,BLT BONNET,THD.,SC";325
ATB100H;H_VC;"1""SHUT-OFF VALVE,ANGLE,BLTD BONN,THD,HW";325
ATB125C;H_VC;"1-1/4""SHUTOFF VLV,ANGL ,BOLT BONNT THD,SC";451
ATB125H;H_VC;"1-1/4""SHUTOFF VLV,ANGL,BOLT BONNT,THD,HW";451
ATE050C;H_VC;"1/2"" SHT-OFF VLV, ANGLE,EXT.NECK,BLT.BONNET,THD,SC";376
ATE050H;H_VC;"1/2"" SHUT-OFF VLV, ANG, EXTNECK,BLT.BNT,THD.HW";376
ATE075C;H_VC;"3/4"" SHUT-OFF VLV,ANG,EXT.NCK,BLT.BNT,THD.SC";429
ATE075H;H_VC;"3/4"" SHUT-OFF VLV,ANG,EXT.NCK,BLT.BNT,THD,HW";429
ATE100C;H_VC;"1"" SHUT-OFF VALVE,ANGLE,EXT.NECK,BLT.BONNET,THD,SC";510
ATE100H;H_VC;"1"" SHUT-OFF VALVE,ANGLE,EXT.NECK,BLT.BONNET,THD,HW";510
ATE125C;H_VC;"1-1/4"" SHUT-OFF VLV,ANGLE.EXT.NCK,BLT.BNT,THD,SC";636
ATE125H;H_VC;"1-1/4"" SHUT-OFF VALVE, ANG,EXT.NCK,BLT.BNT,THD,HW";636
AW1000C;H_VC;"10"" REFRIG. SHUT-OFF VALVE ANGLE, BW, SC";15701
AW1000H;H_VC;"10"" REFRIG. SHUT-OFF VALVE, ANGLE, BW, HW";15701
AW1200C;H_VC;"12"" REFRIG. SHUT-OFF VALVE ANGLE, BW, SC";22893
